mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.615514092186579,10,0.0139134260272583,Preprocessor1_Model01
3,5,rsq,standard,0.99189527477897,10,0.000343974400960798,Preprocessor1_Model01
4,5,rmse,standard,0.321178017460749,10,0.00576504179146864,Preprocessor1_Model02
4,5,rsq,standard,0.997509682157328,10,8.32597380991116e-05,Preprocessor1_Model02
5,5,rmse,standard,0.189284469401984,10,0.00211314215013611,Preprocessor1_Model03
5,5,rsq,standard,0.999087936250179,10,1.49028734131385e-05,Preprocessor1_Model03
7,5,rmse,standard,0.0957816711024705,10,0.000936665939649035,Preprocessor1_Model04
7,5,rsq,standard,0.999759534739333,10,3.8999171802359e-06,Preprocessor1_Model04
3,6,rmse,standard,0.626522442284512,10,0.00626669961656035,Preprocessor1_Model05
3,6,rsq,standard,0.99168951792956,10,0.000147648697927375,Preprocessor1_Model05
4,6,rmse,standard,0.325805381204082,10,0.00365054536672396,Preprocessor1_Model06
4,6,rsq,standard,0.997463952257353,10,4.86471371744336e-05,Preprocessor1_Model06
5,6,rmse,standard,0.199267904681287,10,0.0029485675626576,Preprocessor1_Model07
5,6,rsq,standard,0.998991631675417,10,2.85462998930955e-05,Preprocessor1_Model07
7,6,rmse,standard,0.100034749496857,10,0.00129654335082974,Preprocessor1_Model08
7,6,rsq,standard,0.999737408377139,10,6.52178287272255e-06,Preprocessor1_Model08
3,7,rmse,standard,0.619306748202849,10,0.00838271926264493,Preprocessor1_Model09
3,7,rsq,standard,0.991851340452869,10,0.000207997283699545,Preprocessor1_Model09
4,7,rmse,standard,0.327302505560667,10,0.00405681994780778,Preprocessor1_Model10
4,7,rsq,standard,0.997436779169542,10,5.65673681945439e-05,Preprocessor1_Model10
5,7,rmse,standard,0.199893525679865,10,0.00320357116633286,Preprocessor1_Model11
5,7,rsq,standard,0.998983946667569,10,3.0105916038079e-05,Preprocessor1_Model11
7,7,rmse,standard,0.106767265912335,10,0.00128978263467861,Preprocessor1_Model12
7,7,rsq,standard,0.999701300480259,10,5.9317134575248e-06,Preprocessor1_Model12
3,8,rmse,standard,0.621579407775331,10,0.00721829890603527,Preprocessor1_Model13
3,8,rsq,standard,0.991785149965884,10,0.000217813263171589,Preprocessor1_Model13
4,8,rmse,standard,0.33459292196664,10,0.00487176966811757,Preprocessor1_Model14
4,8,rsq,standard,0.997321244671508,10,5.90385760536073e-05,Preprocessor1_Model14
5,8,rmse,standard,0.203600861810366,10,0.00298523309816012,Preprocessor1_Model15
5,8,rsq,standard,0.998947369350163,10,2.66409616553821e-05,Preprocessor1_Model15
7,8,rmse,standard,0.10992970939745,10,0.00148556855616614,Preprocessor1_Model16
7,8,rsq,standard,0.999683402627623,10,7.06796722469068e-06,Preprocessor1_Model16
