mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.712255895680023,10,0.012326115621002,Preprocessor1_Model01
3,5,rsq,standard,0.991768066482347,10,0.00028856622276505,Preprocessor1_Model01
4,5,rmse,standard,0.370114596849836,10,0.00749141967442667,Preprocessor1_Model02
4,5,rsq,standard,0.997590207273113,10,0.000103647197774482,Preprocessor1_Model02
5,5,rmse,standard,0.203341660246451,10,0.00275207155966602,Preprocessor1_Model03
5,5,rsq,standard,0.999230683750973,10,2.73861001060454e-05,Preprocessor1_Model03
7,5,rmse,standard,0.0962726877648934,10,0.00192508616084859,Preprocessor1_Model04
7,5,rsq,standard,0.999824992395529,10,7.57595820976008e-06,Preprocessor1_Model04
3,6,rmse,standard,0.725545283340096,10,0.0154439754343301,Preprocessor1_Model05
3,6,rsq,standard,0.991500791485956,10,0.000404089750365654,Preprocessor1_Model05
4,6,rmse,standard,0.368452742776995,10,0.00652091561836881,Preprocessor1_Model06
4,6,rsq,standard,0.997615632618589,10,7.45218194737289e-05,Preprocessor1_Model06
5,6,rmse,standard,0.210621515806496,10,0.00315541944495942,Preprocessor1_Model07
5,6,rsq,standard,0.999180368494932,10,2.15748878021377e-05,Preprocessor1_Model07
7,6,rmse,standard,0.103632297967805,10,0.0020321556714099,Preprocessor1_Model08
7,6,rsq,standard,0.999796563794133,10,9.24499095897738e-06,Preprocessor1_Model08
3,7,rmse,standard,0.740648892553606,10,0.00982036882069357,Preprocessor1_Model09
3,7,rsq,standard,0.991156910650496,10,0.00030568535431924,Preprocessor1_Model09
4,7,rmse,standard,0.364006569771565,10,0.00735697839484482,Preprocessor1_Model10
4,7,rsq,standard,0.997648973633252,10,8.98731835945223e-05,Preprocessor1_Model10
5,7,rmse,standard,0.220944944103882,10,0.00520745336934952,Preprocessor1_Model11
5,7,rsq,standard,0.999093208012314,10,4.91342156763446e-05,Preprocessor1_Model11
7,7,rmse,standard,0.11058720255812,10,0.0019066167193465,Preprocessor1_Model12
7,7,rsq,standard,0.999768160768903,10,8.89702817417561e-06,Preprocessor1_Model12
3,8,rmse,standard,0.725929361692724,10,0.0109727678799198,Preprocessor1_Model13
3,8,rsq,standard,0.991456890794801,10,0.000245923974784397,Preprocessor1_Model13
4,8,rmse,standard,0.378831069503744,10,0.00735944067450787,Preprocessor1_Model14
4,8,rsq,standard,0.997484612632388,10,0.00011220441613705,Preprocessor1_Model14
5,8,rmse,standard,0.223009490067212,10,0.00353785234341855,Preprocessor1_Model15
5,8,rsq,standard,0.999079830657495,10,3.59852622682931e-05,Preprocessor1_Model15
7,8,rmse,standard,0.118130668858319,10,0.00173631691469103,Preprocessor1_Model16
7,8,rsq,standard,0.999735414579759,10,9.4119002894459e-06,Preprocessor1_Model16
