mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.615169520525407,10,0.00762459248070385,Preprocessor1_Model01
3,5,rsq,standard,0.991367695966012,10,0.000189184441433913,Preprocessor1_Model01
4,5,rmse,standard,0.326719655149952,10,0.00417645999704112,Preprocessor1_Model02
4,5,rsq,standard,0.997323104718289,10,5.13854436056582e-05,Preprocessor1_Model02
5,5,rmse,standard,0.199392467728165,10,0.00336947649920754,Preprocessor1_Model03
5,5,rsq,standard,0.998948800583711,10,2.86820336698496e-05,Preprocessor1_Model03
7,5,rmse,standard,0.097516951856909,10,0.00184387950200378,Preprocessor1_Model04
7,5,rsq,standard,0.999740254847198,10,8.21978259022996e-06,Preprocessor1_Model04
3,6,rmse,standard,0.613284810377161,10,0.0120650881664664,Preprocessor1_Model05
3,6,rsq,standard,0.991351472582251,10,0.000305789892274097,Preprocessor1_Model05
4,6,rmse,standard,0.334787045534346,10,0.00454311355417967,Preprocessor1_Model06
4,6,rsq,standard,0.997208409944571,10,6.0500220512005e-05,Preprocessor1_Model06
5,6,rmse,standard,0.204986554902265,10,0.0024815121795661,Preprocessor1_Model07
5,6,rsq,standard,0.998888822032675,10,2.14205824757244e-05,Preprocessor1_Model07
7,6,rmse,standard,0.103408845988728,10,0.00179506094170393,Preprocessor1_Model08
7,6,rsq,standard,0.999707792141412,10,8.2059955586569e-06,Preprocessor1_Model08
3,7,rmse,standard,0.613176573133224,10,0.006136144419941,Preprocessor1_Model09
3,7,rsq,standard,0.991456622851272,10,0.000116594625497377,Preprocessor1_Model09
4,7,rmse,standard,0.337597528931713,10,0.00299033023752785,Preprocessor1_Model10
4,7,rsq,standard,0.997152882551472,10,3.80106484685597e-05,Preprocessor1_Model10
5,7,rmse,standard,0.207047650258887,10,0.00380277392805856,Preprocessor1_Model11
5,7,rsq,standard,0.998867004655554,10,3.45737173478079e-05,Preprocessor1_Model11
7,7,rmse,standard,0.109298363316151,10,0.00110880572772364,Preprocessor1_Model12
7,7,rsq,standard,0.999674115921594,10,4.54511303013625e-06,Preprocessor1_Model12
3,8,rmse,standard,0.617701072430359,10,0.0108336627339204,Preprocessor1_Model13
3,8,rsq,standard,0.991305760264955,10,0.00023633559395793,Preprocessor1_Model13
4,8,rmse,standard,0.344501414130952,10,0.00715334625868108,Preprocessor1_Model14
4,8,rsq,standard,0.997035955143747,10,9.37567991345565e-05,Preprocessor1_Model14
5,8,rmse,standard,0.210890415062646,10,0.00406699417497133,Preprocessor1_Model15
5,8,rsq,standard,0.998825971563508,10,3.67787959037871e-05,Preprocessor1_Model15
7,8,rmse,standard,0.114120537224854,10,0.00158667291599257,Preprocessor1_Model16
7,8,rsq,standard,0.999644491057572,10,7.26049814663802e-06,Preprocessor1_Model16
