mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,1.08866503853943,10,0.0210779023785852,Preprocessor1_Model01
3,5,rsq,standard,0.990405883580163,10,0.00031154966514249,Preprocessor1_Model01
4,5,rmse,standard,0.581087943797168,10,0.00973282024293324,Preprocessor1_Model02
4,5,rsq,standard,0.997014361769469,10,9.0357173434032e-05,Preprocessor1_Model02
5,5,rmse,standard,0.340276260152001,10,0.00541414403897405,Preprocessor1_Model03
5,5,rsq,standard,0.998907971816275,10,3.75760968368632e-05,Preprocessor1_Model03
7,5,rmse,standard,0.174345192751163,10,0.00314753793201172,Preprocessor1_Model04
7,5,rsq,standard,0.999704595156522,10,1.10934653842916e-05,Preprocessor1_Model04
3,6,rmse,standard,1.09488254507725,10,0.0134447648505226,Preprocessor1_Model05
3,6,rsq,standard,0.99040952771421,10,0.000188506649495614,Preprocessor1_Model05
4,6,rmse,standard,0.575337808934862,10,0.0123659955840405,Preprocessor1_Model06
4,6,rsq,standard,0.997056114740791,10,0.00010513898195176,Preprocessor1_Model06
5,6,rmse,standard,0.344760598207757,10,0.00547483956833145,Preprocessor1_Model07
5,6,rsq,standard,0.998881629047925,10,2.76336688131137e-05,Preprocessor1_Model07
7,6,rmse,standard,0.188895117302625,10,0.00427847289130279,Preprocessor1_Model08
7,6,rsq,standard,0.99965223067476,10,1.75730557475775e-05,Preprocessor1_Model08
3,7,rmse,standard,1.08284902247248,10,0.0221733625985005,Preprocessor1_Model09
3,7,rsq,standard,0.990556332662192,10,0.000287656033522754,Preprocessor1_Model09
4,7,rmse,standard,0.595222505681656,10,0.0141930907010498,Preprocessor1_Model10
4,7,rsq,standard,0.996869958523736,10,0.000115458576693563,Preprocessor1_Model10
5,7,rmse,standard,0.355177642592576,10,0.00582863420870771,Preprocessor1_Model11
5,7,rsq,standard,0.998811424920334,10,3.84428242083844e-05,Preprocessor1_Model11
7,7,rmse,standard,0.19758415712105,10,0.00353346884446863,Preprocessor1_Model12
7,7,rsq,standard,0.999620130912498,10,1.44129431055518e-05,Preprocessor1_Model12
3,8,rmse,standard,1.10683165045079,10,0.0219382388244793,Preprocessor1_Model13
3,8,rsq,standard,0.990107585154522,10,0.000344107026458659,Preprocessor1_Model13
4,8,rmse,standard,0.584266304672849,10,0.00988324210768975,Preprocessor1_Model14
4,8,rsq,standard,0.99696948138476,10,7.22742097453824e-05,Preprocessor1_Model14
5,8,rmse,standard,0.363325120212405,10,0.00627027216366876,Preprocessor1_Model15
5,8,rsq,standard,0.998752847796154,10,4.13114160900028e-05,Preprocessor1_Model15
7,8,rmse,standard,0.216068543867877,10,0.00387210568040643,Preprocessor1_Model16
7,8,rsq,standard,0.999545568400183,10,1.79629876091997e-05,Preprocessor1_Model16
