mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.701685018087888,10,0.0112903175311018,Preprocessor1_Model01
3,5,rsq,standard,0.991535615976363,10,0.000200243941337948,Preprocessor1_Model01
4,5,rmse,standard,0.383036230354512,10,0.00653757412422462,Preprocessor1_Model02
4,5,rsq,standard,0.997276082031118,10,8.20240705030882e-05,Preprocessor1_Model02
5,5,rmse,standard,0.23023871511714,10,0.00323891707572486,Preprocessor1_Model03
5,5,rsq,standard,0.998964787638234,10,2.23264079644186e-05,Preprocessor1_Model03
7,5,rmse,standard,0.127870897060465,10,0.00120711325330912,Preprocessor1_Model04
7,5,rsq,standard,0.999673876107645,10,7.73805623345607e-06,Preprocessor1_Model04
3,6,rmse,standard,0.694127072484111,10,0.00854823925365549,Preprocessor1_Model05
3,6,rsq,standard,0.991710399218196,10,0.000159899214202613,Preprocessor1_Model05
4,6,rmse,standard,0.382625657837977,10,0.00538636931920571,Preprocessor1_Model06
4,6,rsq,standard,0.997279689274618,10,5.67100006571548e-05,Preprocessor1_Model06
5,6,rmse,standard,0.23804480451917,10,0.00349764097376985,Preprocessor1_Model07
5,6,rsq,standard,0.998892533125869,10,2.94348807205348e-05,Preprocessor1_Model07
7,6,rmse,standard,0.135448661536364,10,0.00174586467822737,Preprocessor1_Model08
7,6,rsq,standard,0.999633753945036,10,1.03837923177767e-05,Preprocessor1_Model08
3,7,rmse,standard,0.698555755502015,10,0.0100802435355584,Preprocessor1_Model09
3,7,rsq,standard,0.991568545476554,10,0.00019538559746128,Preprocessor1_Model09
4,7,rmse,standard,0.392323817641411,10,0.00661163707155446,Preprocessor1_Model10
4,7,rsq,standard,0.997133828720683,10,7.65421902630217e-05,Preprocessor1_Model10
5,7,rmse,standard,0.241312878836749,10,0.00237697670379007,Preprocessor1_Model11
5,7,rsq,standard,0.998861148660305,10,2.4960142333819e-05,Preprocessor1_Model11
7,7,rmse,standard,0.149582690303939,10,0.0013988406790496,Preprocessor1_Model12
7,7,rsq,standard,0.999553684139313,10,9.29940681199299e-06,Preprocessor1_Model12
3,8,rmse,standard,0.709786999465014,10,0.00982400704651989,Preprocessor1_Model13
3,8,rsq,standard,0.991323718460351,10,0.000272661469201719,Preprocessor1_Model13
4,8,rmse,standard,0.3887048920424,10,0.00718859832140119,Preprocessor1_Model14
4,8,rsq,standard,0.997201084569491,10,7.359608951426e-05,Preprocessor1_Model14
5,8,rmse,standard,0.251393541686882,10,0.00339333908096912,Preprocessor1_Model15
5,8,rsq,standard,0.99876753246927,10,3.22336903949584e-05,Preprocessor1_Model15
7,8,rmse,standard,0.158278603474336,10,0.00254375493225451,Preprocessor1_Model16
7,8,rsq,standard,0.999499100853712,10,1.78874126276412e-05,Preprocessor1_Model16
