mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.369083351712364,10,0.00509650346254465,Preprocessor1_Model01
3,5,rsq,standard,0.992280599175838,10,0.000202914197375694,Preprocessor1_Model01
4,5,rmse,standard,0.197922433150401,10,0.00374507416762547,Preprocessor1_Model02
4,5,rsq,standard,0.997575749605337,10,7.96436602816855e-05,Preprocessor1_Model02
5,5,rmse,standard,0.117390441580549,10,0.00114104268344851,Preprocessor1_Model03
5,5,rsq,standard,0.999099729757521,10,1.59760881132214e-05,Preprocessor1_Model03
7,5,rmse,standard,0.0593324291982638,10,0.000774442539878194,Preprocessor1_Model04
7,5,rsq,standard,0.999763728165697,10,5.45524973349536e-06,Preprocessor1_Model04
3,6,rmse,standard,0.377701028332679,10,0.00636593636403107,Preprocessor1_Model05
3,6,rsq,standard,0.991921708024468,10,0.000244811925587409,Preprocessor1_Model05
4,6,rmse,standard,0.198438109059011,10,0.00276406462620934,Preprocessor1_Model06
4,6,rsq,standard,0.997553330200529,10,5.3254385584231e-05,Preprocessor1_Model06
5,6,rmse,standard,0.120778871818603,10,0.00172903679250361,Preprocessor1_Model07
5,6,rsq,standard,0.999046506864622,10,2.27018152139924e-05,Preprocessor1_Model07
7,6,rmse,standard,0.0633169050663205,10,0.000867840611384963,Preprocessor1_Model08
7,6,rsq,standard,0.999730943989321,10,6.75162155459932e-06,Preprocessor1_Model08
3,7,rmse,standard,0.372133590444824,10,0.00486333777764606,Preprocessor1_Model09
3,7,rsq,standard,0.992171351378053,10,0.000237793274299341,Preprocessor1_Model09
4,7,rmse,standard,0.1956874359341,10,0.00243958703121709,Preprocessor1_Model10
4,7,rsq,standard,0.997619633086305,10,4.34966789078855e-05,Preprocessor1_Model10
5,7,rmse,standard,0.121492933968995,10,0.00198405833887906,Preprocessor1_Model11
5,7,rsq,standard,0.99903425219525,10,2.75478778752654e-05,Preprocessor1_Model11
7,7,rmse,standard,0.0660451510353308,10,0.000824056466268092,Preprocessor1_Model12
7,7,rsq,standard,0.999707501726134,10,6.76525704122116e-06,Preprocessor1_Model12
3,8,rmse,standard,0.374470676763491,10,0.00560039882894691,Preprocessor1_Model13
3,8,rsq,standard,0.992017984627033,10,0.000260975773981785,Preprocessor1_Model13
4,8,rmse,standard,0.205901611214621,10,0.00382778506132602,Preprocessor1_Model14
4,8,rsq,standard,0.997378161857137,10,9.93313803971213e-05,Preprocessor1_Model14
5,8,rmse,standard,0.123597792638435,10,0.00172860003452039,Preprocessor1_Model15
5,8,rsq,standard,0.999002424108506,10,2.50523206610595e-05,Preprocessor1_Model15
7,8,rmse,standard,0.0695868344921146,10,0.000759432042959324,Preprocessor1_Model16
7,8,rsq,standard,0.999675403200434,10,6.34900089162954e-06,Preprocessor1_Model16
