mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,1.60136092974475,10,0.139550956532704,Preprocessor1_Model01
3,5,rsq,standard,0.980112426057827,10,0.0022021556271632,Preprocessor1_Model01
4,5,rmse,standard,1.27222275243197,10,0.119053528002734,Preprocessor1_Model02
4,5,rsq,standard,0.987219135781063,10,0.00170349784907627,Preprocessor1_Model02
5,5,rmse,standard,1.17257708158942,10,0.12566413150258,Preprocessor1_Model03
5,5,rsq,standard,0.988951653079885,10,0.00173037599573572,Preprocessor1_Model03
7,5,rmse,standard,1.01974652500286,10,0.123221617098972,Preprocessor1_Model04
7,5,rsq,standard,0.991514043644031,10,0.00165255182452876,Preprocessor1_Model04
3,6,rmse,standard,1.73808532555746,10,0.151764637003973,Preprocessor1_Model05
3,6,rsq,standard,0.976006802997521,10,0.00276734259774168,Preprocessor1_Model05
4,6,rmse,standard,1.37064404370326,10,0.138878410581093,Preprocessor1_Model06
4,6,rsq,standard,0.985404997234184,10,0.00200640661133016,Preprocessor1_Model06
5,6,rmse,standard,1.2585942029739,10,0.150115119863687,Preprocessor1_Model07
5,6,rsq,standard,0.987138238039454,10,0.00233240975096886,Preprocessor1_Model07
7,6,rmse,standard,1.0642867583523,10,0.128119555414784,Preprocessor1_Model08
7,6,rsq,standard,0.990823003154867,10,0.00173768306539887,Preprocessor1_Model08
3,7,rmse,standard,1.75180417918797,10,0.157124198096946,Preprocessor1_Model09
3,7,rsq,standard,0.976104068886051,10,0.00274962709624971,Preprocessor1_Model09
4,7,rmse,standard,1.47643376130142,10,0.158564447440024,Preprocessor1_Model10
4,7,rsq,standard,0.982731746799432,10,0.00253275060690309,Preprocessor1_Model10
5,7,rmse,standard,1.29913234240984,10,0.148093596216119,Preprocessor1_Model11
5,7,rsq,standard,0.986502774899392,10,0.00219979431423641,Preprocessor1_Model11
7,7,rmse,standard,1.14067018347187,10,0.129739742009336,Preprocessor1_Model12
7,7,rsq,standard,0.989459016874917,10,0.00181262855366736,Preprocessor1_Model12
3,8,rmse,standard,1.85472457922212,10,0.166217024948733,Preprocessor1_Model13
3,8,rsq,standard,0.973051941070023,10,0.00312424158318917,Preprocessor1_Model13
4,8,rmse,standard,1.5660742496094,10,0.146760008444007,Preprocessor1_Model14
4,8,rsq,standard,0.980690424318184,10,0.00230709221249318,Preprocessor1_Model14
5,8,rmse,standard,1.37002145732388,10,0.14973105468551,Preprocessor1_Model15
5,8,rsq,standard,0.985070729192689,10,0.00229816037832751,Preprocessor1_Model15
7,8,rmse,standard,1.2002880604163,10,0.121038259817388,Preprocessor1_Model16
7,8,rsq,standard,0.988526090046228,10,0.00167340531802703,Preprocessor1_Model16
