mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.160475331809525,10,0.0040830563378302,Preprocessor1_Model01
3,5,rsq,standard,0.995649519041829,10,0.000243820293679475,Preprocessor1_Model01
4,5,rmse,standard,0.0922688648409313,10,0.005393056535645,Preprocessor1_Model02
4,5,rsq,standard,0.99849650824236,10,0.000172678972230931,Preprocessor1_Model02
5,5,rmse,standard,0.050497810774314,10,0.00215094425713621,Preprocessor1_Model03
5,5,rsq,standard,0.999554349298589,10,3.57089635306392e-05,Preprocessor1_Model03
7,5,rmse,standard,0.0124550243793908,10,0.00081976010104929,Preprocessor1_Model04
7,5,rsq,standard,0.999971911381516,10,3.66400369373807e-06,Preprocessor1_Model04
3,6,rmse,standard,0.160464979882286,10,0.00341242120818024,Preprocessor1_Model05
3,6,rsq,standard,0.995671460867262,10,0.000187057248390576,Preprocessor1_Model05
4,6,rmse,standard,0.0896640460201746,10,0.00336246311232756,Preprocessor1_Model06
4,6,rsq,standard,0.998593563857893,10,0.000117113020500082,Preprocessor1_Model06
5,6,rmse,standard,0.0505091111839079,10,0.00313259258426619,Preprocessor1_Model07
5,6,rsq,standard,0.999544900491236,10,5.6640789710475e-05,Preprocessor1_Model07
7,6,rmse,standard,0.0124513418724242,10,0.000611740024144306,Preprocessor1_Model08
7,6,rsq,standard,0.999972267593499,10,3.11435287908755e-06,Preprocessor1_Model08
3,7,rmse,standard,0.156559304586746,10,0.00493103953426266,Preprocessor1_Model09
3,7,rsq,standard,0.995843446495622,10,0.000278453132913525,Preprocessor1_Model09
4,7,rmse,standard,0.0917861299097724,10,0.00415505852909022,Preprocessor1_Model10
4,7,rsq,standard,0.998527983281032,10,0.000138886566173646,Preprocessor1_Model10
5,7,rmse,standard,0.0538429019753604,10,0.00256842610211758,Preprocessor1_Model11
5,7,rsq,standard,0.999485747568791,10,5.0702072428739e-05,Preprocessor1_Model11
7,7,rmse,standard,0.0143853969588853,10,0.000865415524065152,Preprocessor1_Model12
7,7,rsq,standard,0.999962730361294,10,4.65877561308194e-06,Preprocessor1_Model12
3,8,rmse,standard,0.159085425859476,10,0.00560065434868606,Preprocessor1_Model13
3,8,rsq,standard,0.995697148528183,10,0.000326074459081097,Preprocessor1_Model13
4,8,rmse,standard,0.0948340213735349,10,0.00375574212733892,Preprocessor1_Model14
4,8,rsq,standard,0.998457022226087,10,0.000111279323102395,Preprocessor1_Model14
5,8,rmse,standard,0.0510740571228979,10,0.00180123502390794,Preprocessor1_Model15
5,8,rsq,standard,0.999543957138597,10,3.56923567197607e-05,Preprocessor1_Model15
7,8,rmse,standard,0.0149248616927284,10,0.000984972636746373,Preprocessor1_Model16
7,8,rsq,standard,0.999959207892719,10,5.9424594578885e-06,Preprocessor1_Model16
