mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,5,rmse,standard,0.658468700936214,10,0.0128114301780758,Preprocessor1_Model01
3,5,rsq,standard,0.993290784965586,10,0.000278029166688097,Preprocessor1_Model01
4,5,rmse,standard,0.304878692049259,10,0.00479452148236645,Preprocessor1_Model02
4,5,rsq,standard,0.998426011735037,10,5.7368317299735e-05,Preprocessor1_Model02
5,5,rmse,standard,0.159594818348095,10,0.00344189504538479,Preprocessor1_Model03
5,5,rsq,standard,0.999545941004732,10,2.19161318132229e-05,Preprocessor1_Model03
7,5,rmse,standard,0.0584041520791195,10,0.000538843927985646,Preprocessor1_Model04
7,5,rsq,standard,0.999938259891822,10,1.17640334634621e-06,Preprocessor1_Model04
3,6,rmse,standard,0.66553632207977,10,0.0138326811180761,Preprocessor1_Model05
3,6,rsq,standard,0.993070881854356,10,0.000305667387433787,Preprocessor1_Model05
4,6,rmse,standard,0.309306501701053,10,0.00810960249343781,Preprocessor1_Model06
4,6,rsq,standard,0.998376796438613,10,8.84481044892752e-05,Preprocessor1_Model06
5,6,rmse,standard,0.157145727375381,10,0.00194729807042712,Preprocessor1_Model07
5,6,rsq,standard,0.999559239535464,10,1.33139200217646e-05,Preprocessor1_Model07
7,6,rmse,standard,0.062497758545294,10,0.000803269768633189,Preprocessor1_Model08
7,6,rsq,standard,0.999928997163942,10,2.12405898228689e-06,Preprocessor1_Model08
3,7,rmse,standard,0.653797867654367,10,0.0122740342849026,Preprocessor1_Model09
3,7,rsq,standard,0.993325086225294,10,0.000272657073225883,Preprocessor1_Model09
4,7,rmse,standard,0.325121409371776,10,0.00948256229765614,Preprocessor1_Model10
4,7,rsq,standard,0.998205843501264,10,0.000109340457621109,Preprocessor1_Model10
5,7,rmse,standard,0.170938141406487,10,0.00395805985990737,Preprocessor1_Model11
5,7,rsq,standard,0.999475495469785,10,2.8987196401888e-05,Preprocessor1_Model11
7,7,rmse,standard,0.066942414990779,10,0.000728160750136318,Preprocessor1_Model12
7,7,rsq,standard,0.999918328107544,10,1.81682590422521e-06,Preprocessor1_Model12
3,8,rmse,standard,0.6340298877454,10,0.0144501192190746,Preprocessor1_Model13
3,8,rsq,standard,0.99369641695034,10,0.000296373040756876,Preprocessor1_Model13
4,8,rmse,standard,0.315648496771801,10,0.00645071601062242,Preprocessor1_Model14
4,8,rsq,standard,0.998315582325298,10,5.98577742169767e-05,Preprocessor1_Model14
5,8,rmse,standard,0.170601264370563,10,0.00338507493450157,Preprocessor1_Model15
5,8,rsq,standard,0.999480067368647,10,2.19030051226531e-05,Preprocessor1_Model15
7,8,rmse,standard,0.0716702242979004,10,0.000834725131047457,Preprocessor1_Model16
7,8,rsq,standard,0.999906295066494,10,2.52619301778369e-06,Preprocessor1_Model16
